run,nf1,k1,p1,nf2,k2,p2,f1_score,val_loss,val_accuracy,bn1,dropout1,bn2,dropout2,bn3
212,48,"(5, 5)","(3, 3)",24,"(2, 2)","(3, 3)",0.9872,0.12453,0.9559,1,0.282,1,0.251,0
213,48,"(5, 5)","(3, 3)",24,"(5, 5)","(3, 3)",0.99084,0.24004,0.91282,0,0.091,1,0.068,1
214,48,"(5, 5)","(3, 3)",24,"(8, 8)","(3, 3)",0.98906,0.07914,0.96553,1,0.294,0,0.311,0
215,48,"(8, 8)","(3, 3)",24,"(2, 2)","(3, 3)",0.99542,0.33373,0.91232,0,0.089,1,0.046,1
216,48,"(8, 8)","(3, 3)",24,"(5, 5)","(3, 3)",0.99908,0.03164,0.98834,0,0.142,1,0.173,1
217,48,"(8, 8)","(3, 3)",24,"(8, 8)","(3, 3)",0.88859,1.88154,0.62848,1,0.258,1,0.159,0
218,64,"(2, 2)","(3, 3)",32,"(2, 2)","(3, 3)",0.979,0.14021,0.94932,0,0.383,0,0.026,1
219,64,"(2, 2)","(3, 3)",32,"(5, 5)","(3, 3)",0.96419,0.70733,0.83274,1,0.32,0,0.457,1
220,64,"(2, 2)","(3, 3)",32,"(8, 8)","(3, 3)",0.94397,0.23433,0.926,0,0.488,1,0.347,0
221,64,"(5, 5)","(3, 3)",32,"(2, 2)","(3, 3)",0.96795,0.24761,0.91282,1,0.172,1,0.268,0
222,64,"(5, 5)","(3, 3)",32,"(5, 5)","(3, 3)",0.95596,5.31425,0.44703,1,0.156,1,0.05,0
223,64,"(5, 5)","(3, 3)",32,"(8, 8)","(3, 3)",0.99817,0.03465,0.98885,1,0.079,0,0.118,1
224,64,"(8, 8)","(3, 3)",32,"(2, 2)","(3, 3)",0.95987,3.72981,0.51647,1,0.397,1,0.434,0
225,64,"(8, 8)","(3, 3)",32,"(5, 5)","(3, 3)",0.99725,0.04629,0.98581,0,0.077,1,0.192,0
226,64,"(8, 8)","(3, 3)",32,"(8, 8)","(3, 3)",0.99634,0.03601,0.99645,0,0.103,0,0.406,0
227,16,"(2, 2)","(3, 3)",8,"(2, 2)","(4, 4)",0.94859,0.13083,0.94627,1,0.261,0,0.431,0
228,16,"(2, 2)","(3, 3)",8,"(5, 5)","(4, 4)",0.96251,0.11981,0.9559,1,0.259,0,0.352,1
229,16,"(2, 2)","(3, 3)",8,"(8, 8)","(4, 4)",0.97897,0.22376,0.92549,1,0.316,0,0.014,0
230,16,"(5, 5)","(3, 3)",8,"(2, 2)","(4, 4)",0.96785,0.10075,0.963,1,0.498,1,0.196,1
231,16,"(5, 5)","(3, 3)",8,"(5, 5)","(4, 4)",0.98168,0.10041,0.96452,0,0.031,1,0.22,1
232,16,"(5, 5)","(3, 3)",8,"(8, 8)","(4, 4)",0.97253,0.10983,0.96199,0,0.174,0,0.124,1
233,16,"(8, 8)","(3, 3)",8,"(2, 2)","(4, 4)",0.96884,0.22989,0.91536,0,0.102,1,0.071,0
234,16,"(8, 8)","(3, 3)",8,"(5, 5)","(4, 4)",0.98352,0.52026,0.85251,0,0.354,0,0.094,1
235,16,"(8, 8)","(3, 3)",8,"(8, 8)","(4, 4)",0.99634,0.03227,0.98581,1,0.292,1,0.427,1
236,24,"(2, 2)","(3, 3)",12,"(2, 2)","(4, 4)",0.95155,0.34205,0.87937,1,0.404,0,0.476,1
237,24,"(2, 2)","(3, 3)",12,"(5, 5)","(4, 4)",0.9635,0.14847,0.95134,0,0.086,0,0.064,1
238,24,"(2, 2)","(3, 3)",12,"(8, 8)","(4, 4)",0.99452,0.06069,0.98378,0,0.154,1,0.118,1
239,24,"(5, 5)","(3, 3)",12,"(2, 2)","(4, 4)",0.9881,0.1232,0.95996,0,0.163,0,0.23,1
240,24,"(5, 5)","(3, 3)",12,"(5, 5)","(4, 4)",0.97894,0.09212,0.96807,0,0.347,0,0.185,1
241,24,"(5, 5)","(3, 3)",12,"(8, 8)","(4, 4)",0.99176,0.0519,0.98479,0,0.042,0,0.306,1
242,24,"(8, 8)","(3, 3)",12,"(2, 2)","(4, 4)",0.97624,0.18076,0.94019,1,0.111,0,0.282,0
243,24,"(8, 8)","(3, 3)",12,"(5, 5)","(4, 4)",0.97517,0.07192,0.97719,1,0.347,0,0.422,0
244,24,"(8, 8)","(3, 3)",12,"(8, 8)","(4, 4)",0.97068,0.27182,0.89458,0,0.079,1,0.04,1
245,32,"(2, 2)","(3, 3)",16,"(2, 2)","(4, 4)",0.95985,0.40943,0.83376,1,0.383,1,0.209,1
246,32,"(2, 2)","(3, 3)",16,"(5, 5)","(4, 4)",0.92657,1.55584,0.60922,1,0.044,1,0.348,1
247,32,"(2, 2)","(3, 3)",16,"(8, 8)","(4, 4)",0.97249,0.67587,0.78003,0,0.142,1,0.188,0
248,32,"(5, 5)","(3, 3)",16,"(2, 2)","(4, 4)",0.98993,0.07761,0.97263,0,0.241,1,0.277,1
249,32,"(5, 5)","(3, 3)",16,"(5, 5)","(4, 4)",0.98535,0.04609,0.98834,0,0.007,0,0.282,0
250,32,"(5, 5)","(3, 3)",16,"(8, 8)","(4, 4)",0.99634,0.12255,0.97111,1,0.374,1,0.138,1
251,32,"(8, 8)","(3, 3)",16,"(2, 2)","(4, 4)",0.93812,1.67214,0.66548,1,0.241,0,0.481,0
252,32,"(8, 8)","(3, 3)",16,"(5, 5)","(4, 4)",0.98255,0.08646,0.96401,1,0.1,0,0.452,1
253,32,"(8, 8)","(3, 3)",16,"(8, 8)","(4, 4)",0.99542,0.03195,0.98784,0,0.33,1,0.266,1
254,48,"(2, 2)","(3, 3)",24,"(2, 2)","(4, 4)",0.96587,0.19658,0.91485,0,0.12,0,0.037,1
255,48,"(2, 2)","(3, 3)",24,"(5, 5)","(4, 4)",0.978,0.09533,0.97111,0,0.413,0,0.428,0
256,48,"(2, 2)","(3, 3)",24,"(8, 8)","(4, 4)",0.96532,0.4581,0.86417,0,0.019,1,0.439,1
257,48,"(5, 5)","(3, 3)",24,"(2, 2)","(4, 4)",0.98718,0.23098,0.88495,0,0.231,1,0.308,0
258,48,"(5, 5)","(3, 3)",24,"(5, 5)","(4, 4)",0.98076,0.11209,0.96047,0,0.385,0,0.442,0
259,48,"(5, 5)","(3, 3)",24,"(8, 8)","(4, 4)",0.99542,0.22982,0.92955,1,0.095,0,0.426,1
260,48,"(8, 8)","(3, 3)",24,"(2, 2)","(4, 4)",0.98262,0.7016,0.7998,1,0.339,1,0.434,1
261,48,"(8, 8)","(3, 3)",24,"(5, 5)","(4, 4)",0.99176,8.45353,0.33705,1,0.119,1,0.264,0
262,48,"(8, 8)","(3, 3)",24,"(8, 8)","(4, 4)",1.0,0.01604,0.99392,0,0.142,1,0.418,1
263,64,"(2, 2)","(3, 3)",32,"(2, 2)","(4, 4)",0.96701,0.74415,0.73391,1,0.473,1,0.489,0
264,64,"(2, 2)","(3, 3)",32,"(5, 5)","(4, 4)",0.96699,0.12043,0.95236,0,0.116,1,0.358,1
265,64,"(2, 2)","(3, 3)",32,"(8, 8)","(4, 4)",0.98809,0.11802,0.97263,0,0.164,0,0.459,0
266,64,"(5, 5)","(3, 3)",32,"(2, 2)","(4, 4)",0.989,0.60128,0.81956,1,0.428,1,0.035,0
267,64,"(5, 5)","(3, 3)",32,"(5, 5)","(4, 4)",0.98445,0.03525,0.99088,0,0.052,0,0.467,0
268,64,"(5, 5)","(3, 3)",32,"(8, 8)","(4, 4)",0.99451,0.21813,0.8961,0,0.054,1,0.374,0
269,64,"(8, 8)","(3, 3)",32,"(2, 2)","(4, 4)",0.92231,0.2885,0.88748,0,0.481,1,0.305,1
270,64,"(8, 8)","(3, 3)",32,"(5, 5)","(4, 4)",0.99084,0.14016,0.95236,0,0.265,1,0.266,1
271,64,"(8, 8)","(3, 3)",32,"(8, 8)","(4, 4)",0.91223,0.44624,0.80943,1,0.136,1,0.455,1
272,16,"(2, 2)","(3, 3)",8,"(2, 2)","(5, 5)",0.93945,0.18015,0.92803,1,0.309,0,0.221,1
273,16,"(2, 2)","(3, 3)",8,"(5, 5)","(5, 5)",0.96341,1.37788,0.66954,1,0.065,1,0.421,1
274,16,"(2, 2)","(3, 3)",8,"(8, 8)","(5, 5)",0.93258,1.1447,0.65636,1,0.243,0,0.08,1
275,16,"(5, 5)","(3, 3)",8,"(2, 2)","(5, 5)",0.95691,0.16338,0.9336,0,0.453,1,0.331,1
276,16,"(5, 5)","(3, 3)",8,"(5, 5)","(5, 5)",0.95517,0.86256,0.76432,0,0.325,1,0.343,1
277,16,"(5, 5)","(3, 3)",8,"(8, 8)","(5, 5)",0.9817,0.19203,0.93107,0,0.12,0,0.329,1
278,16,"(8, 8)","(3, 3)",8,"(2, 2)","(5, 5)",0.96521,0.39296,0.85606,0,0.255,1,0.452,1
279,16,"(8, 8)","(3, 3)",8,"(5, 5)","(5, 5)",0.94277,0.32097,0.84288,1,0.121,1,0.465,0
280,16,"(8, 8)","(3, 3)",8,"(8, 8)","(5, 5)",0.96048,0.27742,0.88545,1,0.341,1,0.135,0
281,24,"(2, 2)","(3, 3)",12,"(2, 2)","(5, 5)",0.93315,0.2332,0.89965,0,0.142,0,0.334,0
282,24,"(2, 2)","(3, 3)",12,"(5, 5)","(5, 5)",0.96977,0.43977,0.85758,1,0.4,0,0.156,1
283,24,"(2, 2)","(3, 3)",12,"(8, 8)","(5, 5)",0.88326,0.80224,0.69742,1,0.293,0,0.432,1
284,24,"(5, 5)","(3, 3)",12,"(2, 2)","(5, 5)",0.97527,0.06313,0.97871,0,0.408,0,0.278,0
285,24,"(5, 5)","(3, 3)",12,"(5, 5)","(5, 5)",0.97712,0.09272,0.9701,0,0.383,0,0.045,1
286,24,"(5, 5)","(3, 3)",12,"(8, 8)","(5, 5)",0.96621,0.3121,0.87025,1,0.27,0,0.371,1
287,24,"(8, 8)","(3, 3)",12,"(2, 2)","(5, 5)",0.98718,0.21508,0.92499,0,0.434,1,0.387,1
288,24,"(8, 8)","(3, 3)",12,"(5, 5)","(5, 5)",0.97619,0.1279,0.95185,0,0.317,1,0.072,1
289,24,"(8, 8)","(3, 3)",12,"(8, 8)","(5, 5)",0.97985,0.06862,0.97871,0,0.275,0,0.23,0
290,32,"(2, 2)","(3, 3)",16,"(2, 2)","(5, 5)",0.94184,0.1602,0.94475,1,0.173,0,0.061,0
291,32,"(2, 2)","(3, 3)",16,"(5, 5)","(5, 5)",0.97551,0.14299,0.94932,1,0.126,1,0.014,0
292,32,"(2, 2)","(3, 3)",16,"(8, 8)","(5, 5)",0.97709,0.13165,0.95185,0,0.062,1,0.053,1
293,32,"(5, 5)","(3, 3)",16,"(2, 2)","(5, 5)",0.96333,0.11956,0.94982,1,0.119,1,0.198,0
294,32,"(5, 5)","(3, 3)",16,"(5, 5)","(5, 5)",0.98718,0.04247,0.98479,0,0.071,0,0.239,0
295,32,"(5, 5)","(3, 3)",16,"(8, 8)","(5, 5)",0.99817,0.05572,0.98125,1,0.302,1,0.132,1
296,32,"(8, 8)","(3, 3)",16,"(2, 2)","(5, 5)",0.98903,0.09459,0.96199,0,0.178,1,0.061,1
297,32,"(8, 8)","(3, 3)",16,"(5, 5)","(5, 5)",0.98901,0.09586,0.96199,0,0.143,1,0.026,0
298,32,"(8, 8)","(3, 3)",16,"(8, 8)","(5, 5)",0.99178,0.0308,0.98986,0,0.1,0,0.146,0
299,48,"(2, 2)","(3, 3)",24,"(2, 2)","(5, 5)",0.9542,0.18097,0.93107,0,0.124,0,0.139,0
300,48,"(2, 2)","(3, 3)",24,"(5, 5)","(5, 5)",0.95487,0.74525,0.76533,0,0.275,0,0.239,1
301,48,"(2, 2)","(3, 3)",24,"(8, 8)","(5, 5)",0.97065,1.94088,0.39027,1,0.392,1,0.109,1
302,48,"(5, 5)","(3, 3)",24,"(2, 2)","(5, 5)",0.99176,0.06049,0.98277,0,0.134,0,0.258,0
303,48,"(5, 5)","(3, 3)",24,"(5, 5)","(5, 5)",0.99268,0.05518,0.98023,0,0.484,1,0.061,0
304,48,"(5, 5)","(3, 3)",24,"(8, 8)","(5, 5)",0.99451,0.01119,0.99696,0,0.005,0,0.396,0
305,48,"(8, 8)","(3, 3)",24,"(2, 2)","(5, 5)",0.98533,0.32382,0.87886,0,0.377,1,0.358,0
306,48,"(8, 8)","(3, 3)",24,"(5, 5)","(5, 5)",0.99452,0.11858,0.95489,0,0.416,0,0.371,1
307,48,"(8, 8)","(3, 3)",24,"(8, 8)","(5, 5)",0.80288,0.89283,0.79422,1,0.317,1,0.318,0
308,64,"(2, 2)","(3, 3)",32,"(2, 2)","(5, 5)",0.95173,0.55337,0.852,1,0.308,0,0.472,0
309,64,"(2, 2)","(3, 3)",32,"(5, 5)","(5, 5)",0.98627,0.0665,0.97263,0,0.47,1,0.201,0
310,64,"(2, 2)","(3, 3)",32,"(8, 8)","(5, 5)",0.97441,0.12475,0.9554,0,0.407,0,0.147,0
311,64,"(5, 5)","(3, 3)",32,"(2, 2)","(5, 5)",0.99267,0.04784,0.98378,0,0.142,0,0.414,0
312,64,"(5, 5)","(3, 3)",32,"(5, 5)","(5, 5)",0.99359,0.03981,0.98682,0,0.467,0,0.153,0
313,64,"(5, 5)","(3, 3)",32,"(8, 8)","(5, 5)",0.99176,0.1099,0.963,1,0.192,1,0.261,1
314,64,"(8, 8)","(3, 3)",32,"(2, 2)","(5, 5)",0.9276,0.89758,0.69944,1,0.473,1,0.129,1
315,64,"(8, 8)","(3, 3)",32,"(5, 5)","(5, 5)",0.97248,0.22926,0.91181,1,0.108,0,0.439,0
316,64,"(8, 8)","(3, 3)",32,"(8, 8)","(5, 5)",0.97165,2.14805,0.67258,0,0.066,1,0.436,0
317,16,"(2, 2)","(4, 4)",8,"(2, 2)","(4, 4)",0.94394,0.16611,0.93614,1,0.496,1,0.249,1
318,16,"(2, 2)","(4, 4)",8,"(5, 5)","(4, 4)",0.94599,0.29881,0.85504,0,0.425,0,0.033,1
319,16,"(2, 2)","(4, 4)",8,"(8, 8)","(4, 4)",0.94216,0.20348,0.92144,1,0.038,1,0.236,0
320,16,"(5, 5)","(4, 4)",8,"(2, 2)","(4, 4)",0.96609,0.15194,0.94982,1,0.189,1,0.164,1
321,16,"(5, 5)","(4, 4)",8,"(5, 5)","(4, 4)",0.96818,0.24728,0.90978,1,0.475,0,0.342,1
322,16,"(5, 5)","(4, 4)",8,"(8, 8)","(4, 4)",0.98352,0.10738,0.97314,0,0.149,0,0.087,0
323,16,"(8, 8)","(4, 4)",8,"(2, 2)","(4, 4)",0.94426,1.2,0.61024,1,0.292,1,0.424,1
324,16,"(8, 8)","(4, 4)",8,"(5, 5)","(4, 4)",0.97347,0.07376,0.97314,0,0.391,0,0.438,1
325,24,"(2, 2)","(4, 4)",12,"(2, 2)","(4, 4)",0.9372,0.18159,0.92448,0,0.209,0,0.412,1
326,24,"(2, 2)","(4, 4)",12,"(5, 5)","(4, 4)",0.94678,0.16732,0.9336,0,0.37,1,0.311,1
327,24,"(2, 2)","(4, 4)",12,"(8, 8)","(4, 4)",0.94821,1.48082,0.77395,1,0.238,0,0.284,0
328,24,"(5, 5)","(4, 4)",12,"(2, 2)","(4, 4)",0.96427,0.15062,0.93766,0,0.285,1,0.126,1
329,24,"(5, 5)","(4, 4)",12,"(5, 5)","(4, 4)",0.99267,0.0339,0.99138,1,0.12,0,0.241,1
330,24,"(5, 5)","(4, 4)",12,"(8, 8)","(4, 4)",0.99634,0.01982,0.99544,0,0.014,0,0.372,1
331,24,"(8, 8)","(4, 4)",12,"(2, 2)","(4, 4)",0.97433,0.09249,0.97111,0,0.447,1,0.275,1
332,24,"(8, 8)","(4, 4)",12,"(5, 5)","(4, 4)",0.98625,0.23468,0.93512,0,0.327,1,0.04,0
333,32,"(2, 2)","(4, 4)",16,"(2, 2)","(4, 4)",0.92691,0.20301,0.91232,0,0.251,1,0.007,0
334,32,"(2, 2)","(4, 4)",16,"(5, 5)","(4, 4)",0.91903,1.21024,0.60568,1,0.037,1,0.409,1
335,32,"(2, 2)","(4, 4)",16,"(8, 8)","(4, 4)",0.98438,1.77733,0.65636,0,0.281,1,0.152,0
336,32,"(5, 5)","(4, 4)",16,"(2, 2)","(4, 4)",0.95696,0.70609,0.85048,1,0.073,0,0.483,0
337,32,"(5, 5)","(4, 4)",16,"(5, 5)","(4, 4)",0.96513,3.59779,0.4739,1,0.293,1,0.339,1
338,32,"(5, 5)","(4, 4)",16,"(8, 8)","(4, 4)",0.98533,0.07643,0.97618,0,0.092,0,0.385,1
339,32,"(8, 8)","(4, 4)",16,"(2, 2)","(4, 4)",0.98355,0.27561,0.87633,1,0.255,0,0.023,1
340,32,"(8, 8)","(4, 4)",16,"(5, 5)","(4, 4)",0.98901,0.12232,0.95641,0,0.341,0,0.415,1
341,48,"(2, 2)","(4, 4)",24,"(2, 2)","(4, 4)",0.93744,0.21581,0.89711,0,0.228,0,0.275,1
342,48,"(2, 2)","(4, 4)",24,"(5, 5)","(4, 4)",0.88951,0.72428,0.70705,1,0.479,1,0.1,0
343,48,"(2, 2)","(4, 4)",24,"(8, 8)","(4, 4)",0.93961,0.50255,0.85808,0,0.113,1,0.017,0
344,48,"(5, 5)","(4, 4)",24,"(2, 2)","(4, 4)",0.97615,0.13433,0.9554,0,0.203,0,0.147,0
345,48,"(5, 5)","(4, 4)",24,"(5, 5)","(4, 4)",0.89568,0.53989,0.87177,1,0.289,0,0.02,1
346,48,"(5, 5)","(4, 4)",24,"(8, 8)","(4, 4)",0.96421,0.32223,0.87126,1,0.206,0,0.199,1
347,48,"(8, 8)","(4, 4)",24,"(2, 2)","(4, 4)",0.99359,0.09835,0.96249,1,0.25,1,0.49,1
348,48,"(8, 8)","(4, 4)",24,"(5, 5)","(4, 4)",0.94116,1.79261,0.49366,1,0.268,1,0.229,1
349,64,"(2, 2)","(4, 4)",32,"(2, 2)","(4, 4)",0.96332,0.1286,0.94881,1,0.294,1,0.113,0
350,64,"(2, 2)","(4, 4)",32,"(5, 5)","(4, 4)",0.97716,0.0962,0.97111,0,0.029,0,0.427,1
351,64,"(2, 2)","(4, 4)",32,"(8, 8)","(4, 4)",0.98262,0.14827,0.94425,1,0.087,0,0.217,1
352,64,"(5, 5)","(4, 4)",32,"(2, 2)","(4, 4)",0.96134,0.62183,0.86518,1,0.488,0,0.493,0
353,64,"(5, 5)","(4, 4)",32,"(5, 5)","(4, 4)",0.99542,0.19717,0.93614,1,0.432,0,0.018,0
354,64,"(5, 5)","(4, 4)",32,"(8, 8)","(4, 4)",0.99908,0.16251,0.93969,1,0.41,1,0.269,1
355,64,"(8, 8)","(4, 4)",32,"(2, 2)","(4, 4)",0.98992,0.03626,0.98632,0,0.177,0,0.27,0
356,64,"(8, 8)","(4, 4)",32,"(5, 5)","(4, 4)",0.96794,0.15716,0.92651,0,0.439,1,0.07,0
357,16,"(2, 2)","(4, 4)",8,"(2, 2)","(5, 5)",0.93571,0.24173,0.90826,1,0.308,0,0.474,0
358,16,"(2, 2)","(4, 4)",8,"(5, 5)","(5, 5)",0.91423,0.32528,0.85099,1,0.337,0,0.16,0
359,16,"(5, 5)","(4, 4)",8,"(2, 2)","(5, 5)",0.94061,0.16,0.94171,1,0.072,1,0.291,0
360,16,"(5, 5)","(4, 4)",8,"(5, 5)","(5, 5)",0.96432,0.13969,0.95236,0,0.096,0,0.413,1
361,16,"(8, 8)","(4, 4)",8,"(2, 2)","(5, 5)",0.94729,0.13645,0.93867,1,0.314,0,0.212,0
362,16,"(8, 8)","(4, 4)",8,"(5, 5)","(5, 5)",0.98351,0.08314,0.96452,1,0.158,1,0.147,1
363,24,"(2, 2)","(4, 4)",12,"(2, 2)","(5, 5)",0.9279,0.17085,0.92854,0,0.335,0,0.189,1
364,24,"(2, 2)","(4, 4)",12,"(5, 5)","(5, 5)",0.9314,0.22804,0.90826,1,0.077,0,0.08,0
365,24,"(5, 5)","(4, 4)",12,"(2, 2)","(5, 5)",0.96977,0.20498,0.92701,1,0.057,1,0.403,1
366,24,"(5, 5)","(4, 4)",12,"(5, 5)","(5, 5)",0.88174,0.30409,0.8814,1,0.093,0,0.354,0
367,24,"(8, 8)","(4, 4)",12,"(2, 2)","(5, 5)",0.99176,0.04337,0.98429,1,0.002,0,0.361,0
368,24,"(8, 8)","(4, 4)",12,"(5, 5)","(5, 5)",0.92393,0.24659,0.91738,1,0.158,0,0.12,1
369,32,"(2, 2)","(4, 4)",16,"(2, 2)","(5, 5)",0.95892,0.12682,0.95236,0,0.261,0,0.396,0
370,32,"(2, 2)","(4, 4)",16,"(5, 5)","(5, 5)",0.97987,0.10605,0.97466,0,0.459,0,0.039,0
371,32,"(5, 5)","(4, 4)",16,"(2, 2)","(5, 5)",0.95322,0.17513,0.93969,0,0.141,1,0.281,1
372,32,"(5, 5)","(4, 4)",16,"(5, 5)","(5, 5)",0.98626,1.14851,0.71161,0,0.304,1,0.469,1
373,32,"(8, 8)","(4, 4)",16,"(2, 2)","(5, 5)",0.98352,0.40476,0.8743,1,0.062,1,0.263,1
374,32,"(8, 8)","(4, 4)",16,"(5, 5)","(5, 5)",0.99176,0.08135,0.96503,1,0.213,0,0.372,1
375,48,"(2, 2)","(4, 4)",24,"(2, 2)","(5, 5)",0.96619,0.11133,0.95489,0,0.027,0,0.195,0
376,48,"(2, 2)","(4, 4)",24,"(5, 5)","(5, 5)",0.94584,0.3151,0.89306,0,0.133,1,0.489,0
377,48,"(5, 5)","(4, 4)",24,"(2, 2)","(5, 5)",0.92443,0.20289,0.91536,0,0.401,1,0.108,1
378,48,"(5, 5)","(4, 4)",24,"(5, 5)","(5, 5)",0.97252,0.90366,0.85251,1,0.014,0,0.407,0
379,48,"(8, 8)","(4, 4)",24,"(2, 2)","(5, 5)",0.9724,0.28996,0.90421,1,0.389,0,0.069,1
380,48,"(8, 8)","(4, 4)",24,"(5, 5)","(5, 5)",0.97521,0.71974,0.80993,0,0.048,1,0.142,1
381,64,"(2, 2)","(4, 4)",32,"(2, 2)","(5, 5)",0.90539,0.36188,0.84339,1,0.014,0,0.486,0
382,64,"(2, 2)","(4, 4)",32,"(5, 5)","(5, 5)",0.94072,0.15359,0.94019,0,0.285,1,0.033,1
383,64,"(5, 5)","(4, 4)",32,"(2, 2)","(5, 5)",0.94107,0.39412,0.84947,1,0.173,0,0.452,1
384,64,"(5, 5)","(4, 4)",32,"(5, 5)","(5, 5)",0.96162,2.12214,0.66143,1,0.102,1,0.493,1
385,64,"(8, 8)","(4, 4)",32,"(2, 2)","(5, 5)",0.93436,0.20653,0.91029,0,0.153,1,0.494,1
386,64,"(8, 8)","(4, 4)",32,"(5, 5)","(5, 5)",0.98163,0.10828,0.96655,0,0.238,1,0.205,0
387,16,"(2, 2)","(5, 5)",8,"(2, 2)","(5, 5)",0.90861,0.24849,0.91384,1,0.251,0,0.394,1
388,16,"(2, 2)","(5, 5)",8,"(5, 5)","(5, 5)",0.94779,0.18554,0.92499,0,0.413,0,0.018,0
389,16,"(5, 5)","(5, 5)",8,"(2, 2)","(5, 5)",0.93744,0.16632,0.9336,1,0.184,0,0.09,1
390,16,"(8, 8)","(5, 5)",8,"(2, 2)","(5, 5)",0.9154,0.25887,0.89965,1,0.059,0,0.019,0
391,24,"(2, 2)","(5, 5)",12,"(2, 2)","(5, 5)",0.9096,0.23496,0.90928,0,0.222,1,0.079,0
392,24,"(2, 2)","(5, 5)",12,"(5, 5)","(5, 5)",0.95139,0.13078,0.95489,1,0.115,1,0.173,1
393,24,"(5, 5)","(5, 5)",12,"(2, 2)","(5, 5)",0.95869,0.11191,0.95996,1,0.445,1,0.25,0
394,24,"(8, 8)","(5, 5)",12,"(2, 2)","(5, 5)",0.95865,0.1654,0.93056,0,0.369,1,0.347,0
395,32,"(2, 2)","(5, 5)",16,"(2, 2)","(5, 5)",0.88263,0.29003,0.88191,1,0.15,1,0.118,0
396,32,"(2, 2)","(5, 5)",16,"(5, 5)","(5, 5)",0.96701,0.44181,0.87836,0,0.199,1,0.191,0
397,32,"(5, 5)","(5, 5)",16,"(2, 2)","(5, 5)",0.97258,0.10977,0.96756,0,0.21,0,0.164,0
398,32,"(8, 8)","(5, 5)",16,"(2, 2)","(5, 5)",0.87858,0.78286,0.74911,0,0.03,0,0.06,1
399,48,"(2, 2)","(5, 5)",24,"(2, 2)","(5, 5)",0.90624,0.2749,0.89356,0,0.474,1,0.029,0
400,48,"(2, 2)","(5, 5)",24,"(5, 5)","(5, 5)",0.9826,0.10565,0.96351,0,0.477,1,0.252,0
401,48,"(5, 5)","(5, 5)",24,"(2, 2)","(5, 5)",0.97804,0.12257,0.95185,0,0.474,1,0.164,1
402,48,"(8, 8)","(5, 5)",24,"(2, 2)","(5, 5)",0.93879,0.27889,0.8966,1,0.385,1,0.052,0
403,64,"(2, 2)","(5, 5)",32,"(2, 2)","(5, 5)",0.94581,0.14312,0.94577,0,0.259,0,0.25,0
404,64,"(2, 2)","(5, 5)",32,"(5, 5)","(5, 5)",0.94586,0.43561,0.88191,0,0.266,1,0.085,0
405,64,"(5, 5)","(5, 5)",32,"(2, 2)","(5, 5)",0.92489,0.99202,0.69133,0,0.096,1,0.041,1
406,64,"(8, 8)","(5, 5)",32,"(2, 2)","(5, 5)",0.98993,1.17726,0.73239,0,0.359,1,0.202,1
