run,nf1,k1,p1,nf2,k2,p2,f1_score,val_loss,val_accuracy,bn1,dropout1,bn2,dropout2,bn3
44,64,"(8, 8)","(2, 2)",32,"(2, 2)","(2, 2)",0.97068,0.46457,0.82261,1,0.286,1,0.255,1
45,64,"(8, 8)","(2, 2)",32,"(5, 5)","(2, 2)",0.99725,0.02144,0.9929,1,0.417,0,0.483,0
46,64,"(8, 8)","(2, 2)",32,"(8, 8)","(2, 2)",1.0,0.00729,0.99696,0,0.152,1,0.103,0
47,16,"(2, 2)","(2, 2)",8,"(2, 2)","(3, 3)",0.99177,0.06235,0.97314,0,0.284,0,0.008,1
48,16,"(2, 2)","(2, 2)",8,"(5, 5)","(3, 3)",0.98351,0.04528,0.98632,0,0.388,1,0.449,0
49,16,"(2, 2)","(2, 2)",8,"(8, 8)","(3, 3)",0.98168,0.10565,0.95641,1,0.373,0,0.311,0
50,16,"(5, 5)","(2, 2)",8,"(2, 2)","(3, 3)",0.99176,0.01969,0.99544,1,0.344,0,0.457,0
51,16,"(5, 5)","(2, 2)",8,"(5, 5)","(3, 3)",0.99725,0.01078,0.99595,0,0.243,1,0.161,0
52,16,"(5, 5)","(2, 2)",8,"(8, 8)","(3, 3)",0.97527,0.20928,0.90826,0,0.461,1,0.005,0
53,16,"(8, 8)","(2, 2)",8,"(2, 2)","(3, 3)",0.99451,0.10042,0.96706,1,0.234,0,0.293,1
54,16,"(8, 8)","(2, 2)",8,"(5, 5)","(3, 3)",0.98717,0.84211,0.79676,1,0.377,1,0.184,0
55,16,"(8, 8)","(2, 2)",8,"(8, 8)","(3, 3)",0.99451,0.09987,0.96553,0,0.181,1,0.31,0
56,24,"(2, 2)","(2, 2)",12,"(2, 2)","(3, 3)",0.99725,0.03139,0.98885,0,0.221,0,0.019,0
57,24,"(2, 2)","(2, 2)",12,"(5, 5)","(3, 3)",0.96154,0.12468,0.95692,0,0.138,1,0.489,1
58,24,"(2, 2)","(2, 2)",12,"(8, 8)","(3, 3)",0.99267,0.28088,0.88039,1,0.441,1,0.109,0
59,24,"(5, 5)","(2, 2)",12,"(2, 2)","(3, 3)",0.99725,0.46751,0.90725,1,0.495,0,0.224,0
60,24,"(5, 5)","(2, 2)",12,"(5, 5)","(3, 3)",0.99084,0.11913,0.96097,1,0.195,0,0.372,1
61,24,"(5, 5)","(2, 2)",12,"(8, 8)","(3, 3)",0.99725,0.01063,0.99696,0,0.05,0,0.236,1
62,24,"(8, 8)","(2, 2)",12,"(2, 2)","(3, 3)",0.99176,0.02894,0.99392,1,0.333,1,0.433,0
63,24,"(8, 8)","(2, 2)",12,"(5, 5)","(3, 3)",0.98443,0.21039,0.94729,1,0.034,0,0.352,1
64,24,"(8, 8)","(2, 2)",12,"(8, 8)","(3, 3)",0.99267,0.05289,0.98479,0,0.313,0,0.142,1
65,32,"(2, 2)","(2, 2)",16,"(2, 2)","(3, 3)",0.99178,0.05098,0.98429,1,0.205,1,0.082,0
66,32,"(2, 2)","(2, 2)",16,"(5, 5)","(3, 3)",0.99817,0.11011,0.95641,1,0.267,1,0.195,0
67,32,"(2, 2)","(2, 2)",16,"(8, 8)","(3, 3)",0.96422,6.95412,0.33401,1,0.285,1,0.5,0
68,32,"(5, 5)","(2, 2)",16,"(2, 2)","(3, 3)",0.99084,2.61721,0.67968,1,0.342,1,0.276,0
69,32,"(5, 5)","(2, 2)",16,"(5, 5)","(3, 3)",0.96606,2.42619,0.64217,1,0.341,1,0.372,1
70,32,"(5, 5)","(2, 2)",16,"(8, 8)","(3, 3)",0.99451,0.08007,0.97162,1,0.409,1,0.404,0
71,32,"(8, 8)","(2, 2)",16,"(2, 2)","(3, 3)",0.98534,0.06498,0.97314,1,0.458,1,0.165,1
72,32,"(8, 8)","(2, 2)",16,"(5, 5)","(3, 3)",0.99725,0.0333,0.98632,0,0.109,1,0.108,1
73,32,"(8, 8)","(2, 2)",16,"(8, 8)","(3, 3)",0.97898,0.0715,0.97212,0,0.447,1,0.038,1
74,48,"(2, 2)","(2, 2)",24,"(2, 2)","(3, 3)",0.98261,0.07413,0.97719,0,0.338,1,0.462,1
75,48,"(2, 2)","(2, 2)",24,"(5, 5)","(3, 3)",0.98718,0.07406,0.98074,0,0.481,0,0.442,0
76,48,"(2, 2)","(2, 2)",24,"(8, 8)","(3, 3)",0.99725,0.04048,0.98784,0,0.072,0,0.111,1
77,48,"(5, 5)","(2, 2)",24,"(2, 2)","(3, 3)",0.98626,0.23731,0.91688,1,0.169,0,0.257,1
78,48,"(5, 5)","(2, 2)",24,"(5, 5)","(3, 3)",0.99359,1.82738,0.67309,1,0.398,0,0.205,1
79,48,"(5, 5)","(2, 2)",24,"(8, 8)","(3, 3)",0.94866,0.16631,0.94425,0,0.12,0,0.46,1
80,48,"(8, 8)","(2, 2)",24,"(2, 2)","(3, 3)",0.98901,0.7914,0.68677,1,0.106,1,0.171,1
81,48,"(8, 8)","(2, 2)",24,"(5, 5)","(3, 3)",0.99359,0.02893,0.98885,0,0.082,1,0.439,0
82,48,"(8, 8)","(2, 2)",24,"(8, 8)","(3, 3)",0.99817,0.31412,0.88697,1,0.35,1,0.306,1
83,64,"(2, 2)","(2, 2)",32,"(2, 2)","(3, 3)",0.99084,0.07765,0.97466,0,0.173,1,0.33,0
84,64,"(2, 2)","(2, 2)",32,"(5, 5)","(3, 3)",0.94873,1.10788,0.73746,1,0.427,0,0.384,1
85,64,"(2, 2)","(2, 2)",32,"(8, 8)","(3, 3)",0.99908,0.03338,0.98784,1,0.291,1,0.044,1
86,64,"(5, 5)","(2, 2)",32,"(2, 2)","(3, 3)",0.97156,0.25763,0.9108,1,0.3,1,0.182,0
87,64,"(5, 5)","(2, 2)",32,"(5, 5)","(3, 3)",0.99817,0.03956,0.98479,0,0.229,1,0.046,1
88,64,"(5, 5)","(2, 2)",32,"(8, 8)","(3, 3)",0.97618,0.51844,0.85555,0,0.43,0,0.155,1
89,64,"(8, 8)","(2, 2)",32,"(2, 2)","(3, 3)",0.99908,0.01588,0.99645,0,0.256,1,0.302,0
90,64,"(8, 8)","(2, 2)",32,"(5, 5)","(3, 3)",0.97799,1.26187,0.79422,1,0.301,0,0.293,1
91,64,"(8, 8)","(2, 2)",32,"(8, 8)","(3, 3)",0.99542,0.01735,0.99696,1,0.454,1,0.003,0
92,16,"(2, 2)","(2, 2)",8,"(2, 2)","(4, 4)",0.97802,0.11574,0.96047,0,0.429,0,0.105,0
93,16,"(2, 2)","(2, 2)",8,"(5, 5)","(4, 4)",0.96975,0.16565,0.93512,0,0.217,1,0.226,0
94,16,"(2, 2)","(2, 2)",8,"(8, 8)","(4, 4)",0.98168,0.08668,0.97111,1,0.279,0,0.458,1
95,16,"(5, 5)","(2, 2)",8,"(2, 2)","(4, 4)",0.97068,0.0777,0.97364,1,0.164,1,0.404,0
96,16,"(5, 5)","(2, 2)",8,"(5, 5)","(4, 4)",0.97985,0.11952,0.96249,0,0.208,0,0.115,1
97,16,"(5, 5)","(2, 2)",8,"(8, 8)","(4, 4)",0.99359,0.27499,0.94577,1,0.006,0,0.324,1
98,16,"(8, 8)","(2, 2)",8,"(2, 2)","(4, 4)",0.9881,0.04414,0.98074,0,0.498,0,0.058,1
99,16,"(8, 8)","(2, 2)",8,"(5, 5)","(4, 4)",0.96149,2.89369,0.56209,1,0.443,1,0.153,0
100,16,"(8, 8)","(2, 2)",8,"(8, 8)","(4, 4)",0.9199,0.33949,0.87228,1,0.377,1,0.287,1
101,24,"(2, 2)","(2, 2)",12,"(2, 2)","(4, 4)",0.97802,0.13979,0.95084,1,0.226,0,0.314,1
102,24,"(2, 2)","(2, 2)",12,"(5, 5)","(4, 4)",0.97893,0.14079,0.94425,0,0.311,1,0.113,1
103,24,"(2, 2)","(2, 2)",12,"(8, 8)","(4, 4)",0.95882,0.89331,0.7258,0,0.115,1,0.49,1
104,24,"(5, 5)","(2, 2)",12,"(2, 2)","(4, 4)",0.98901,0.04527,0.98226,1,0.266,0,0.367,1
105,24,"(5, 5)","(2, 2)",12,"(5, 5)","(4, 4)",0.95773,0.12804,0.93918,1,0.282,1,0.059,1
106,24,"(5, 5)","(2, 2)",12,"(8, 8)","(4, 4)",0.96973,0.11201,0.94627,1,0.295,1,0.317,0
